ID,Review,Sentiment,Length,PunctuationCount,UppercaseCount,SentimentScore,Source,ProductID
822,Neutral feelings about this purchase.,Neutral,5,1,1,0,Website B,1081
93,Absolutely loved this product! Highly recommend it.,Positive,7,2,2,1,Website A,1652
277,Absolutely loved this product! Highly recommend it.,Positive,7,2,2,1,Website C,1843
926,"The product is okay, nothing special.",Neutral,6,2,1,0,Website C,1883
155,Absolutely loved this product! Highly recommend it.,Positive,7,2,2,1,Website A,1082
530,Extremely dissatisfied with the service.,Negative,5,1,1,-1,Website A,1660
951,"The product is okay, nothing special.",Neutral,6,2,1,0,Website C,1728
699,Product broke after just one use. Waste of money.,Negative,9,2,2,-1,Website B,1441
378,Exceeded my expectations in every way.,Positive,6,1,1,1,Website C,1960
948,Neutral feelings about this purchase.,Neutral,5,1,1,0,Website C,1672
781,"The product is okay, nothing special.",Neutral,6,2,1,0,Website B,1456
229,Five stars! Perfect product and quick delivery.,Positive,7,2,2,1,Website B,1794
43,Five stars! Perfect product and quick delivery.,Positive,7,2,2,1,Website C,1823
937,Neutral feelings about this purchase.,Neutral,5,1,1,0,Website C,1650
256,Five stars! Perfect product and quick delivery.,Positive,7,2,2,1,Website B,1437
765,"The product is okay, nothing special.",Neutral,6,2,1,0,Website A,1439
616,One star. Would not buy again.,Negative,6,2,2,-1,Website A,1675
715,"It works as expected, no complaints.",Neutral,6,2,1,0,Website C,1739
366,"Fantastic experience, would buy again!",Positive,5,2,1,1,Website B,1361
82,Five stars! Perfect product and quick delivery.,Positive,7,2,2,1,Website A,1092
114,Great quality and excellent customer service.,Positive,6,1,1,1,Website C,1349
593,Worst purchase ever. Do not recommend.,Negative,6,2,2,-1,Website A,1896
573,Extremely dissatisfied with the service.,Negative,5,1,1,-1,Website B,1426
613,One star. Would not buy again.,Negative,6,2,2,-1,Website B,1548
862,It's alright but could be better.,Neutral,6,1,1,0,Website A,1152
619,Product broke after just one use. Waste of money.,Negative,9,2,2,-1,Website B,1433
562,Worst purchase ever. Do not recommend.,Negative,6,2,2,-1,Website B,1571
917,Neutral feelings about this purchase.,Neutral,5,1,1,0,Website C,1368
953,It's alright but could be better.,Neutral,6,1,1,0,Website B,1684
17,Great quality and excellent customer service.,Positive,6,1,1,1,Website B,1319
191,Five stars! Perfect product and quick delivery.,Positive,7,2,2,1,Website A,1831
189,Five stars! Perfect product and quick delivery.,Positive,7,2,2,1,Website C,1965
693,One star. Would not buy again.,Negative,6,2,2,-1,Website A,1510
237,Five stars! Perfect product and quick delivery.,Positive,7,2,2,1,Website C,1119
145,Absolutely loved this product! Highly recommend it.,Positive,7,2,2,1,Website B,1110
784,"The product is okay, nothing special.",Neutral,6,2,1,0,Website A,1922
903,"Average experience, not too bad but not great.",Neutral,8,2,1,0,Website A,1841
109,Absolutely loved this product! Highly recommend it.,Positive,7,2,2,1,Website C,1661
900,"It works as expected, no complaints.",Neutral,6,2,1,0,Website C,1042
128,Exceeded my expectations in every way.,Positive,6,1,1,1,Website B,1862
964,"It works as expected, no complaints.",Neutral,6,2,1,0,Website C,1612
388,Great quality and excellent customer service.,Positive,6,1,1,1,Website C,1995
735,"The product is okay, nothing special.",Neutral,6,2,1,0,Website C,1705
18,Exceeded my expectations in every way.,Positive,6,1,1,1,Website A,1359
284,"Fantastic experience, would buy again!",Positive,5,2,1,1,Website C,1867
576,Extremely dissatisfied with the service.,Negative,5,1,1,-1,Website C,1229
305,Five stars! Perfect product and quick delivery.,Positive,7,2,2,1,Website C,1537
179,Great quality and excellent customer service.,Positive,6,1,1,1,Website A,1601
561,"Terrible quality, completely disappointed.",Negative,4,2,1,-1,Website C,1327
872,"The product is okay, nothing special.",Neutral,6,2,1,0,Website C,1251
884,It's alright but could be better.,Neutral,6,1,1,0,Website C,1505
394,Great quality and excellent customer service.,Positive,6,1,1,1,Website C,1975
421,Product broke after just one use. Waste of money.,Negative,9,2,2,-1,Website C,1675
22,Absolutely loved this product! Highly recommend it.,Positive,7,2,2,1,Website B,1554
946,"It works as expected, no complaints.",Neutral,6,2,1,0,Website A,1135
697,Product broke after just one use. Waste of money.,Negative,9,2,2,-1,Website C,1012
794,"Average experience, not too bad but not great.",Neutral,8,2,1,0,Website A,1849
88,"Fantastic experience, would buy again!",Positive,5,2,1,1,Website A,1771
